鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
新店區,房地(土地+建物),新北市新店區大豐路63巷1~30號,26.98,住,,,1071114,土地2建物1車位0,三層，騎樓,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,81.28,3,2,1,有,無,8700000,107037,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPOMLSLJINFFCF58DA
新店區,房地(土地+建物)+車位,新北市新店區達觀路1~30號,29.81,,山坡地保育區,丙種建築用地,1071015,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850510,90.44,2,1,1,有,有,4200000,46440,坡道平面,0.0,600000,含增建或未登記建物。,RPXOMLQLJINFFCF56DA
新店區,房地(土地+建物),新北市新店區永安街91~120號,4.88,住,,,1071017,土地2建物1車位0,五層,十三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840908,26.299999999999997,1,1,1,有,有,2300000,87452,,0.0,0,含增建或未登記建物。,RPWNMLMLJINFFCF58DA
新店區,房地(土地+建物),新北市新店區寶橋路78巷61~90號,9.86,住,,,1071027,土地1建物1車位0,十二層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020829,98.55,2,2,2,有,有,16800000,170472,,0.0,0,含增建或未登記建物。,RPVNMLNLJINFFCF58DA
新莊區,房地(土地+建物)+車位,新北市新莊區青山路一段61~90號,13.47,住,,,1071020,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940906,136.19,3,2,2,有,有,8800000,64616,坡道平面,26.42,0,,RPWNMLKMJINFFBF38DA
土城區,房地(土地+建物),新北市土城區裕民路259巷1~30號,8.77,住,,,1071016,土地1建物1車位0,五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830812,72.62,2,1,1,有,有,7500000,103277,,0.0,0,含增建或未登記建物。權利人共二人。,RPPNMLPLJINFFAF97DA
土城區,房地(土地+建物),新北市土城區中央路四段61~90號,8.5,住,,,1071030,土地1建物1車位0,十八層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880610,95.96,3,2,2,有,有,9600000,100042,,0.0,0,含增建或未登記建物。,RPVOMLMLJINFFAF38DA
土城區,房地(土地+建物),新北市土城區金城路三段73巷4弄1~30號,33.79,住,,,1070929,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701222,86.0,3,2,1,有,無,4600000,53488,,0.0,0,有民情風俗因素之交易。;含增建或未登記建物。權利人共三人,RPOOMLNLJINFFAF77DA
土城區,土地,土城段871~900地號,24.2,其他,,,1071022,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,12397,,0.0,0,親友、員工或其他特殊關係間之交易。;公共設施保留地之交易。,RPSQMLRLJINFFAF78DA
土城區,土地,土城段781~810地號,21.26,商,,,1071022,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3200000,150517,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUQMLRLJINFFAF98DA
土城區,土地,土城段781~810地號,8.07,其他,,,1071022,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,100000,12392,,0.0,0,親友、員工或其他特殊關係間之交易。;公共設施保留地之交易。,RPWQMLRLJINFFAF56DA
鶯歌區,房地(土地+建物)+車位,新北市鶯歌區鳳五路1~30號,27.93,住,,,1071105,土地1建物1車位1,十層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061011,160.1,3,2,2,有,有,10280000,67018,坡道平面,29.09,1500000,,RPWNMLMKKINFFIF09CA
鶯歌區,房地(土地+建物)+車位,新北市鶯歌區鳳五路1~30號,28.51,住,,,1071107,土地1建物1車位1,七層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061011,161.17000000000002,3,2,2,有,有,9280000,62689,坡道平面,29.09,1000000,,RPXNMLMKKINFFIF56CA
三峽區,房地(土地+建物),新北市三峽區永安街9巷1~30號,16.56,住,,,1071018,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830205,91.37,2,2,1,有,無,4500000,49250,,0.0,0,,RPVQMLMKKINFFIF66CA
三峽區,房地(土地+建物)+車位,新北市三峽區民生街1巷1~30號,18.17,住,,,1071016,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1031211,120.43,2,2,1,有,有,8600000,71411,坡道平面,29.8,0,,RPQNMLOJKINFFIF58CA
樹林區,房地(土地+建物),新北市樹林區太順街61~90號,37.2,住,,,1071101,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0781221,123.01,4,2,3,有,無,7500000,60971,,0.0,0,,RPUOMLOJKINFFIF09CA
鶯歌區,房地(土地+建物),新北市鶯歌區鳳吉五街1~30號,19.99,住,,,1071031,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701113,81.62,3,2,1,有,無,2950000,36143,,0.0,0,,RPVOMLTLJINFFIF17CA
鶯歌區,房地(土地+建物),新北市鶯歌區永和街61~90號,16.33,住,,,1071018,土地1建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060928,88.28,2,1,1,有,有,7400000,83824,,0.0,0,,RPWNMLTLJINFFIF17CA
三峽區,房地(土地+建物)+車位,新北市三峽區民生街1巷1~30號,18.17,住,,,1071027,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1031211,118.31,2,2,1,有,有,8600000,72690,坡道平面,27.68,0,,RPOPMLQLJINFFIF88CA
鶯歌區,房地(土地+建物),新北市鶯歌區國中街121~150號,15.33,住,,,1070530,土地1建物1車位0,八層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070730,84.55,2,2,1,有,有,5100000,60319,,0.0,0,,RPROMLNLJINFFIF78CA
鶯歌區,房地(土地+建物),新北市鶯歌區育德街1~30號,8.12,住,,,1071110,土地1建物1車位0,五層,十一層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850925,44.25,1,1,1,有,有,3000000,67797,,0.0,0,含增建或未登記建物。;,RPPPMLNLJINFFIF68CA
三峽區,房地(土地+建物)+車位,新北市三峽區中園街1~30號,22.14,住,,,1071113,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020503,153.97,3,1,2,有,有,9150000,59427,坡道平面,36.89,0,親友、員工或其他特殊關係間之交易。;,RPPOMLQLJINFFIF88CA
